,名次,馬號,馬名,騎師,練馬師,實際 負磅,排位 體重,檔位,頭馬 距離,沿途 走位,完成 時間,獨贏 賠率,Date,RaceNo,Venue,Class,Distance,VenueCondition,RaceStakes,WinnerNo,nHorse,Winner,PLACE
1,2,8,多多勇駒(G144),馬雅,苗禮德,121,1042,7,1/2,13 13 12 13 2,1:46.57,12.0,2022-04-10,8,沙田,第三班,1800米,好地,"HK$ 1,570,000",4,14,False,True
10,11,9,隱形翅膀(G225),梁家俊,姚本輝,121,1093,1,6-3/4,7 7 7 6 11,1:47.54,31.0,2022-04-10,8,沙田,第三班,1800米,好地,"HK$ 1,570,000",4,14,False,False
7,8,10,勝利猴王(G197),田泰安,韋達,119,1025,5,2-1/2,12 12 13 10 8,1:46.89,14.0,2022-04-10,8,沙田,第三班,1800米,好地,"HK$ 1,570,000",4,14,False,False
13,14,11,安承(D059),潘明輝,文家良,116,1099,8,44-3/4,5 5 6 14 14,1:53.64,58.0,2022-04-10,8,沙田,第三班,1800米,好地,"HK$ 1,570,000",4,14,False,False
11,12,12,超趣(C285),希威森,高伯新,117,1118,4,16-1/2,4 4 3 3 12,1:49.12,71.0,2022-04-10,8,沙田,第三班,1800米,好地,"HK$ 1,570,000",4,14,False,False
8,9,13,得勝多(E161),蔡明紹,姚本輝,116,1033,11,5-1/2,3 2 5 5 9,1:47.34,5.3,2022-04-10,8,沙田,第三班,1800米,好地,"HK$ 1,570,000",4,14,False,False
4,5,14,悅風雲(E235),賀銘年,丁冠豪,117,1142,6,1-1/4,9 11 11 12 5,1:46.70,40.0,2022-04-10,8,沙田,第三班,1800米,好地,"HK$ 1,570,000",4,14,False,False
0,1,1,時時歡呼(G240),田泰安,告東尼,130,1245,12,-,8 9 1,1:08.55,2.9,2022-04-10,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",1,12,True,True
3,4,2,必先生(G288),薛恩,苗禮德,130,1039,10,3-1/4,6 5 4,1:09.06,81.0,2022-04-10,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",1,12,False,False
7,8,3,美麗喝采(G137),潘明輝,沈集成,125,1195,3,4-1/4,4 6 8,1:09.23,39.0,2022-04-10,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",1,12,False,False
10,11,4,以戰得勝(E422),梁家俊,羅富全,127,1087,6,6-1/4,9 8 11,1:09.55,35.0,2022-04-10,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",1,12,False,False
2,3,5,包裝必勝(G161),潘頓,呂健威,124,1154,11,2-3/4,3 3 3,1:09.01,3.9,2022-04-10,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",1,12,False,True
4,5,6,遨遊氣泡(E436),莫雷拉,姚本輝,124,1197,1,3-1/4,1 1 5,1:09.08,2.8,2022-04-10,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",1,12,False,False
8,9,7,佐治勇駒(E257),何澤堯,蘇偉賢,124,1151,5,5-1/2,11 11 9,1:09.42,26.0,2022-04-10,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",1,12,False,False
6,7,8,祥勝霸駒(G196),希威森,韋達,120,1174,7,4,10 10 7,1:09.20,68.0,2022-04-10,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",1,12,False,False
1,2,9,勝得出色(G215),巴度,蔡約翰,118,1123,4,頸位,7 7 2,1:08.62,9.4,2022-04-10,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",1,12,False,True
5,6,10,大才(G192),賀銘年,葉楚航,118,1068,2,3-3/4,5 4 6,1:09.15,72.0,2022-04-10,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",1,12,False,False
11,12,11,成功財富(G080),楊明綸,丁冠豪,118,1217,9,7-3/4,12 12 12,1:09.81,90.0,2022-04-10,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",1,12,False,False
9,10,12,英雄豪傑(G207),蔡明紹,文家良,118,1178,8,6,2 2 10,1:09.50,118.0,2022-04-10,9,沙田,第三班,1200米,好地,"HK$ 1,570,000",1,12,False,False
5,6,1,五邑之星(D503),蔡明紹,徐雨石,133,1092,8,3-1/2,10 8 6,0:58.11,8.2,2022-04-13,1,跑馬地,第五班,1000米,好地,"HK$ 780,000",2,12,False,False
0,1,2,高高(D397),馬雅,苗禮德,132,1066,3,-,7 5 1,0:57.54,3.2,2022-04-13,1,跑馬地,第五班,1000米,好地,"HK$ 780,000",2,12,True,True
6,7,3,翡翠劇院(A040),黃俊,姚本輝,125,1144,5,5-1/4,11 10 7,0:58.37,28.0,2022-04-13,1,跑馬地,第五班,1000米,好地,"HK$ 780,000",2,12,False,False
10,11,4,大道至簡(E180),巫顯東,鄭俊偉,128,1080,6,6-3/4,12 12 11,0:58.61,96.0,2022-04-13,1,跑馬地,第五班,1000米,好地,"HK$ 780,000",2,12,False,False
1,2,5,安田之寶(E288),賀銘年,丁冠豪,130,1065,11,短馬頭位,1 2 2,0:57.56,23.0,2022-04-13,1,跑馬地,第五班,1000米,好地,"HK$ 780,000",2,12,False,True
11,12,6,好玩大少(E080),班德禮,葉楚航,129,1071,7,10-1/2,6 6 12,0:59.24,51.0,2022-04-13,1,跑馬地,第五班,1000米,好地,"HK$ 780,000",2,12,False,False
4,5,7,招財勝駒(E169),何澤堯,呂健威,129,995,1,3-1/2,9 7 5,0:58.10,57.0,2022-04-13,1,跑馬地,第五班,1000米,好地,"HK$ 780,000",2,12,False,False
2,3,8,吉利大勝(D122),潘頓,高伯新,128,1171,4,1-1/2,4 4 3,0:57.77,3.4,2022-04-13,1,跑馬地,第五班,1000米,好地,"HK$ 780,000",2,12,False,True
3,4,9,紅酒之星(D194),嘉里,容天鵬,128,1136,2,3-1/4,2 3 4,0:58.06,10.0,2022-04-13,1,跑馬地,第五班,1000米,好地,"HK$ 780,000",2,12,False,False
9,10,10,隨喜(E085),莫雷拉,方嘉柏,122,1104,12,6-1/2,8 11 10,0:58.57,7.0,2022-04-13,1,跑馬地,第五班,1000米,好地,"HK$ 780,000",2,12,False,False
7,8,11,全中(D104),楊明綸,何良,117,1093,9,5-3/4,3 1 8,0:58.45,13.0,2022-04-13,1,跑馬地,第五班,1000米,好地,"HK$ 780,000",2,12,False,False
8,9,12,紅海之星(D317),巴度,文家良,113,1052,10,6,5 9 9,0:58.50,19.0,2022-04-13,1,跑馬地,第五班,1000米,好地,"HK$ 780,000",2,12,False,False
6,7,1,豹子膽(C389),楊明綸,徐雨石,133,1149,5,2-3/4,3 3 7,0:57.95,41.0,2022-04-13,2,跑馬地,第五班,1000米,好地,"HK$ 780,000",5,12,False,False
2,3,2,陽明冠爵(D240),薛恩,韋達,133,1088,8,1,11 9 3,0:57.67,5.8,2022-04-13,2,跑馬地,第五班,1000米,好地,"HK$ 780,000",5,12,False,True
5,6,3,無可估計(E378),周俊樂,大衛希斯,128,1030,6,2-3/4,7 7 6,0:57.94,44.0,2022-04-13,2,跑馬地,第五班,1000米,好地,"HK$ 780,000",5,12,False,False
1,2,4,有苗頭(D097),蔡明紹,徐雨石,131,1035,3,頸位,2 2 2,0:57.57,8.0,2022-04-13,2,跑馬地,第五班,1000米,好地,"HK$ 780,000",5,12,False,True
0,1,5,怪獸媽媽(D408),潘頓,高伯新,130,1271,2,-,1 1 1,0:57.51,2.5,2022-04-13,2,跑馬地,第五班,1000米,好地,"HK$ 780,000",5,12,True,True
8,9,6,勇敢動力(D153),陳嘉熙,告東尼,123,1184,1,4-3/4,9 10 9,0:58.27,21.0,2022-04-13,2,跑馬地,第五班,1000米,好地,"HK$ 780,000",5,12,False,False
4,5,7,銀亮之星(B027),何澤堯,蘇偉賢,128,1105,11,2-3/4,5 4 5,0:57.94,41.0,2022-04-13,2,跑馬地,第五班,1000米,好地,"HK$ 780,000",5,12,False,False
3,4,8,神朗金剛(D177),潘明輝,葉楚航,125,1069,7,1,6 5 4,0:57.68,8.6,2022-04-13,2,跑馬地,第五班,1000米,好地,"HK$ 780,000",5,12,False,False
9,10,9,冰雪聰明(D103),馬雅,葉楚航,123,1038,12,4-3/4,8 8 10,0:58.29,75.0,2022-04-13,2,跑馬地,第五班,1000米,好地,"HK$ 780,000",5,12,False,False
7,8,10,電子寶貝(E088),莫雷拉,方嘉柏,122,1118,4,3,4 6 8,0:57.98,4.3,2022-04-13,2,跑馬地,第五班,1000米,好地,"HK$ 780,000",5,12,False,False
10,11,11,大紅星(D305),班德禮,容天鵬,120,1048,10,5-1/4,12 12 11,0:58.35,38.0,2022-04-13,2,跑馬地,第五班,1000米,好地,"HK$ 780,000",5,12,False,False
11,12,12,威力喜(D074),巫顯東,何良,111,987,9,8,10 11 12,0:58.79,98.0,2022-04-13,2,跑馬地,第五班,1000米,好地,"HK$ 780,000",5,12,False,False
7,8,1,團結必勝(E325),周俊樂,大衛希斯,130,1143,2,5-1/4,2 4 8,1:10.84,4.4,2022-04-13,3,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",3,12,False,False
3,4,2,人和家盛(C531),潘頓,沈集成,130,1033,11,2-1/2,10 10 4,1:10.41,13.0,2022-04-13,3,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",3,12,False,False
0,1,3,桃花盛(D234),蔡明紹,告東尼,127,1232,12,-,5 3 1,1:10.01,8.5,2022-04-13,3,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",3,12,True,True
10,11,4,領航神駒(G015),希威森,高伯新,125,1076,1,9-3/4,6 6 11,1:11.58,10.0,2022-04-13,3,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",3,12,False,False
8,9,5,無敵精英(G129),何澤堯,蘇保羅,119,1085,3,5-1/2,8 8 9,1:10.89,76.0,2022-04-13,3,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",3,12,False,False
9,10,6,亟多福(E334),馬雅,苗禮德,119,1040,5,6,7 7 10,1:10.96,75.0,2022-04-13,3,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",3,12,False,False
11,12,7,多姿多財(D125),班德禮,羅富全,117,1054,4,10-1/2,1 1 12,1:11.70,8.1,2022-04-13,3,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",3,12,False,False
1,2,8,各取所需(C474),波健士,韋達,117,1067,8,1-1/2,3 2 2,1:10.24,39.0,2022-04-13,3,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",3,12,False,True
4,5,9,鼓浪精綵(E429),巴度,文家良,116,1094,9,2-3/4,12 12 5,1:10.45,20.0,2022-04-13,3,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",3,12,False,False
2,3,10,福滿寶(D118),巫顯東,賀賢,114,1056,6,2,9 9 3,1:10.32,31.0,2022-04-13,3,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",3,12,False,True
5,6,11,多多歡笑(E362),莫雷拉,方嘉柏,116,1060,7,2-3/4,4 5 6,1:10.45,2.3,2022-04-13,3,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",3,12,False,False
6,7,12,王者奇兵(C130),潘明輝,姚本輝,113,1166,10,3,11 11 7,1:10.49,54.0,2022-04-13,3,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",3,12,False,False
10,11,1,機緣巧俠(C358),周俊樂,文家良,130,1122,4,6-1/2,8 6 6 11,1:41.04,33.0,2022-04-13,4,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",3,12,False,False
1,2,2,成才(B085),薛恩,大衛希斯,132,1188,9,1-3/4,9 9 10 2,1:40.25,5.9,2022-04-13,4,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",3,12,False,True
0,1,3,寶賢得得(E430),莫雷拉,方嘉柏,132,1110,10,-,11 11 11 1,1:39.98,4.1,2022-04-13,4,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",3,12,True,True
9,10,4,開懷大少(A278),賀銘年,文家良,131,1196,12,6,2 2 2 10,1:40.95,38.0,2022-04-13,4,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",3,12,False,False
5,6,5,彩虹之光(E051),潘頓,韋達,130,1103,6,3-1/4,7 7 7 6,1:40.49,5.4,2022-04-13,4,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",3,12,False,False
6,7,6,爆谷(D307),巴度,告東尼,130,999,1,3-1/4,10 10 8 7,1:40.50,8.2,2022-04-13,4,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",3,12,False,False
7,8,7,冰雪奇遇(E075),班德禮,容天鵬,129,1193,5,4,5 5 5 8,1:40.63,26.0,2022-04-13,4,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",3,12,False,False
2,3,8,威威鬥士(E347),潘明輝,呂健威,126,1051,7,2-1/4,6 8 9 3,1:40.34,10.0,2022-04-13,4,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",3,12,False,True
11,12,9,雄龍(C191),何澤堯,蘇偉賢,127,1158,2,6-3/4,4 4 3 12,1:41.05,8.4,2022-04-13,4,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",3,12,False,False
4,5,10,請飲茶(G040),梁家俊,羅富全,120,1212,3,3,1 1 1 5,1:40.47,17.0,2022-04-13,4,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",3,12,False,False
3,4,11,翔龍再現(E452),希威森,賀賢,117,1206,11,2-3/4,12 12 12 4,1:40.43,11.0,2022-04-13,4,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",3,12,False,False
8,9,12,新威煌(E095),蔡明紹,蘇保羅,116,1226,8,5-1/4,3 3 4 9,1:40.83,30.0,2022-04-13,4,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",3,12,False,False
4,5,1,興圖繽紛(G099),希威森,蘇保羅,133,1134,3,4,3 1 5,1:11.02,86.0,2022-04-13,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",7,12,False,False
3,4,2,飛騰騅(E494),莫雷拉,方嘉柏,130,1039,7,3-1/2,10 9 4,1:10.92,4.0,2022-04-13,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",7,12,False,False
8,9,3,前風(E281),梁家俊,徐雨石,130,1042,8,7-1/4,7 7 9,1:11.54,44.0,2022-04-13,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",7,12,False,False
1,2,4,南莊加好(C025),何澤堯,丁冠豪,129,1079,5,1-1/4,8 6 2,1:10.58,12.0,2022-04-13,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",7,12,False,True
5,6,5,想見你(G247),潘頓,沈集成,129,1066,10,4-1/4,9 11 6,1:11.05,4.4,2022-04-13,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",7,12,False,False
7,8,6,勇眼光(D487),薛恩,大衛希斯,129,1268,4,6-3/4,5 8 8,1:11.45,6.1,2022-04-13,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",7,12,False,False
0,1,7,進力之城(D113),蔡明紹,韋達,126,1088,1,-,4 2 1,1:10.37,5.8,2022-04-13,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",7,12,True,True
10,11,8,紅鬃烈馬(D087),黃俊,葉楚航,120,1045,9,8,2 4 11,1:11.66,29.0,2022-04-13,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",7,12,False,False
9,10,9,友之星(E072),周俊樂,容天鵬,118,1151,11,8,12 12 10,1:11.63,105.0,2022-04-13,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",7,12,False,False
11,12,10,賽得意(E116),潘明輝,羅富全,118,1084,6,22-1/2,1 5 12,1:13.98,18.0,2022-04-13,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",7,12,False,False
2,3,11,仍然贏(C388),班德禮,蘇偉賢,119,1112,2,1-1/2,6 3 3,1:10.61,5.9,2022-04-13,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",7,12,False,True
6,7,12,歐洲導彈(E277),楊明綸,鄭俊偉,117,1006,12,4-1/2,11 10 7,1:11.10,39.0,2022-04-13,5,跑馬地,第四班,1200米,好地,"HK$ 1,040,000",7,12,False,False
3,4,1,快步速(C427),莫雷拉,方嘉柏,133,1229,4,2-1/4,5 5 4 4,1:40.14,7.8,2022-04-13,6,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",9,12,False,False
8,9,2,好運寶寶(D372),巴度,告東尼,132,1209,2,8,1 1 1 9,1:41.07,15.0,2022-04-13,6,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",9,12,False,False
10,11,3,騰飛塔(D500),班德禮,蘇偉賢,130,1067,6,9-3/4,7 7 7 11,1:41.33,31.0,2022-04-13,6,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",9,12,False,False
4,5,4,家樂飛駒(D267),嘉里,賀賢,129,1089,10,3-1/4,9 8 8 5,1:40.30,13.0,2022-04-13,6,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",9,12,False,False
5,6,5,運來福星(C473),梁家俊,徐雨石,128,1031,7,3-1/2,6 6 6 6,1:40.36,41.0,2022-04-13,6,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",9,12,False,False
11,12,6,陽明高高(B132),薛恩,呂健威,128,1110,9,21-1/4,10 11 12 12,1:43.19,29.0,2022-04-13,6,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",9,12,False,False
6,7,7,龍來了(E222),潘頓,韋達,127,1243,12,3-1/2,11 10 11 7,1:40.36,2.1,2022-04-13,6,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",9,12,False,False
2,3,8,大師級(C271),賀銘年,丁冠豪,126,1162,5,2,4 4 5 3,1:40.12,19.0,2022-04-13,6,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",9,12,False,True
0,1,9,電子傳奇(G028),周俊樂,文家良,117,1087,3,-,2 2 2 1,1:39.79,6.1,2022-04-13,6,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",9,12,True,True
1,2,10,紅褲之王(E262),何澤堯,大衛希斯,120,1084,1,1-1/4,3 3 3 2,1:39.99,8.5,2022-04-13,6,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",9,12,False,True
7,8,11,錶之皇者(B398),蔡明紹,蘇保羅,118,1292,11,7-1/2,12 12 9 8,1:40.97,38.0,2022-04-13,6,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",9,12,False,False
9,10,12,天空之城(E370),潘明輝,呂健威,113,1052,8,9-1/2,8 9 10 10,1:41.32,29.0,2022-04-13,6,跑馬地,第四班,1650米,好地,"HK$ 1,040,000",9,12,False,False
1,2,1,確妙星(D173),周俊樂,容天鵬,129,1144,7,頸位,9 11 11 2,1:39.98,27.0,2022-04-13,7,跑馬地,第三班,1650米,好地,"HK$ 1,570,000",5,12,False,True
7,8,2,冠寶駒(D359),馬雅,苗禮德,128,1055,10,2-3/4,8 8 8 8,1:40.38,10.0,2022-04-13,7,跑馬地,第三班,1650米,好地,"HK$ 1,570,000",5,12,False,False
11,12,3,喜蓮慧星(D460),潘明輝,告東尼,126,1222,4,5,10 9 10 12,1:40.73,47.0,2022-04-13,7,跑馬地,第三班,1650米,好地,"HK$ 1,570,000",5,12,False,False
3,4,4,美麗邂逅(E459),莫雷拉,告東尼,125,1138,1,1,1 1 1 4,1:40.09,2.2,2022-04-13,7,跑馬地,第三班,1650米,好地,"HK$ 1,570,000",5,12,False,False
0,1,5,牽旺加富(E127),潘頓,韋達,122,1056,12,-,5 5 2 1,1:39.92,4.5,2022-04-13,7,跑馬地,第三班,1650米,好地,"HK$ 1,570,000",5,12,True,True
6,7,6,芙蓉莊(B339),梁家俊,姚本輝,122,1025,8,2-3/4,11 10 9 7,1:40.37,33.0,2022-04-13,7,跑馬地,第三班,1650米,好地,"HK$ 1,570,000",5,12,False,False
2,3,7,合夥芙蓉(G256),何澤堯,蘇偉賢,121,1064,3,1,7 7 6 3,1:40.09,23.0,2022-04-13,7,跑馬地,第三班,1650米,好地,"HK$ 1,570,000",5,12,False,True
4,5,8,喜快(G143),班德禮,鄭俊偉,121,1177,11,1-1/2,6 6 7 5,1:40.16,29.0,2022-04-13,7,跑馬地,第三班,1650米,好地,"HK$ 1,570,000",5,12,False,False
8,9,9,贏科超影(A164),蔡明紹,高伯新,120,1041,2,3,4 4 4 9,1:40.40,14.0,2022-04-13,7,跑馬地,第三班,1650米,好地,"HK$ 1,570,000",5,12,False,False
9,10,10,美麗新星(G232),波健士,蔡約翰,118,1064,9,4-1/4,12 12 12 10,1:40.62,40.0,2022-04-13,7,跑馬地,第三班,1650米,好地,"HK$ 1,570,000",5,12,False,False
10,11,11,天天得樂(E294),楊明綸,何良,118,1059,6,4-3/4,2 2 3 11,1:40.67,37.0,2022-04-13,7,跑馬地,第三班,1650米,好地,"HK$ 1,570,000",5,12,False,False
5,6,12,威之星(E132),希威森,賀賢,118,1082,5,2-1/2,3 3 5 6,1:40.33,6.2,2022-04-13,7,跑馬地,第三班,1650米,好地,"HK$ 1,570,000",5,12,False,False
2,3,1,以戰養戰(D024),何澤堯,羅富全,133,1174,12,短馬頭位,3 3 3,1:09.98,20.0,2022-04-13,8,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",8,12,False,True
10,11,2,十二馬(D280),陳嘉熙,蘇偉賢,127,1157,2,6-1/2,2 1 11,1:10.99,35.0,2022-04-13,8,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",8,12,False,False
1,2,3,順勢贏(E043),蔡明紹,沈集成,132,1073,11,短馬頭位,1 2 2,1:09.97,35.0,2022-04-13,8,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",8,12,False,True
3,4,4,齊齊友福(D505),賀銘年,鄭俊偉,131,1136,1,頭位,6 7 4,1:10.00,10.0,2022-04-13,8,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",8,12,False,False
7,8,5,勇創派對(E368),潘頓,呂健威,131,1036,5,1-3/4,4 4 8,1:10.26,3.6,2022-04-13,8,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",8,12,False,False
8,9,6,飛霸龍(B033),梁家俊,苗禮德,130,1109,8,2,5 5 9,1:10.28,28.0,2022-04-13,8,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",8,12,False,False
11,12,7,閃耀星光(G273),周俊樂,徐雨石,125,1070,4,7-1/4,10 9 12,1:11.12,163.0,2022-04-13,8,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",8,12,False,False
0,1,8,志勝時機(E444),莫雷拉,蔡約翰,125,1047,6,-,9 10 1,1:09.97,2.3,2022-04-13,8,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",8,12,True,True
5,6,9,加州紅森(G224),潘明輝,告東尼,120,1081,9,1-1/2,8 6 6,1:10.19,5.5,2022-04-13,8,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",8,12,False,False
6,7,10,競技勇士(B285),班德禮,葉楚航,120,1216,3,1-3/4,7 8 7,1:10.24,29.0,2022-04-13,8,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",8,12,False,False
9,10,11,八威小子(G239),嘉里,賀賢,119,1067,7,4-3/4,11 12 10,1:10.74,171.0,2022-04-13,8,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",8,12,False,False
4,5,12,喜傲龍(E352),巴度,方嘉柏,118,1167,10,1-1/4,12 11 5,1:10.18,22.0,2022-04-13,8,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",8,12,False,False
6,7,1,疾風勁草(D197),賀銘年,鄭俊偉,133,1137,11,3,12 11 7,1:10.46,53.0,2022-04-13,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",4,12,False,False
1,2,2,旋風飛影(E300),波健士,蔡約翰,132,1116,4,1-3/4,9 8 2,1:10.24,3.9,2022-04-13,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",4,12,False,True
9,10,3,穿甲鷹(G093),巴度,徐雨石,130,1130,2,4-1/4,5 6 10,1:10.66,7.1,2022-04-13,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",4,12,False,False
0,1,4,伊臣(G061),莫雷拉,羅富全,129,1154,12,-,3 1 1,1:09.97,2.6,2022-04-13,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",4,12,True,True
3,4,5,你知我勝(D451),陳嘉熙,姚本輝,124,1147,3,2-1/4,6 5 4,1:10.33,20.0,2022-04-13,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",4,12,False,False
2,3,6,好運寶馬(E157),班德禮,丁冠豪,128,1088,7,2,4 4 3,1:10.28,23.0,2022-04-13,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",4,12,False,True
4,5,7,逆市奇爸(E321),希威森,容天鵬,125,1321,8,2-3/4,7 7 5,1:10.40,35.0,2022-04-13,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",4,12,False,False
5,6,8,簹多福(D352),周俊樂,苗禮德,121,1061,6,3,2 2 6,1:10.43,44.0,2022-04-13,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",4,12,False,False
10,11,9,股票傳奇(D039),潘頓,呂健威,121,1154,1,5-1/4,8 9 11,1:10.80,6.5,2022-04-13,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",4,12,False,False
8,9,10,木火同明(C460),楊明綸,何良,120,1117,9,4,10 10 9,1:10.61,80.0,2022-04-13,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",4,12,False,False
7,8,11,秒秒精彩(D283),潘明輝,告東尼,117,1096,5,3-1/2,1 3 8,1:10.51,18.0,2022-04-13,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",4,12,False,False
11,12,12,電氣騎士(G258),蔡明紹,韋達,117,1191,10,5-3/4,11 12 12,1:10.88,19.0,2022-04-13,9,跑馬地,第三班,1200米,好地,"HK$ 1,570,000",4,12,False,False
1,2,1,捷報(E123),薛恩,方嘉柏,132,1077,9,2-1/2,9 9 9 2,1:23.19,24.0,2022-04-16,1,沙田,第五班,1400米,好地,"HK$ 780,000",4,14,False,True
3,4,2,真感(E209),巴度,高伯新,132,1212,2,3-1/4,4 5 5 4,1:23.30,9.2,2022-04-16,1,沙田,第五班,1400米,好地,"HK$ 780,000",4,14,False,False
7,8,3,龍寶寶(E098),莫雷拉,蔡約翰,131,1069,4,4-1/2,7 7 6 8,1:23.51,6.5,2022-04-16,1,沙田,第五班,1400米,好地,"HK$ 780,000",4,14,False,False
0,1,4,紅磚勇士(C304),潘頓,賀賢,131,1087,8,-,3 3 3 1,1:22.79,4.4,2022-04-16,1,沙田,第五班,1400米,好地,"HK$ 780,000",4,14,True,True
4,5,5,天地同心(B030),何澤堯,徐雨石,131,1117,10,3-3/4,8 10 10 5,1:23.40,13.0,2022-04-16,1,沙田,第五班,1400米,好地,"HK$ 780,000",4,14,False,False
10,11,6,青工精神(E231),楊明綸,大衛希斯,130,1042,6,6,10 8 7 11,1:23.77,28.0,2022-04-16,1,沙田,第五班,1400米,好地,"HK$ 780,000",4,14,False,False
8,9,7,仲得威(E079),馬雅,呂健威,128,1071,14,4-3/4,12 12 13 9,1:23.54,28.0,2022-04-16,1,沙田,第五班,1400米,好地,"HK$ 780,000",4,14,False,False
9,10,8,金碧科(B225),希威森,鄭俊偉,127,1052,1,5-3/4,6 4 4 10,1:23.70,21.0,2022-04-16,1,沙田,第五班,1400米,好地,"HK$ 780,000",4,14,False,False
12,13,9,紅酒之星(D194),嘉里,容天鵬,126,1109,7,8,2 2 2 13,1:24.07,21.0,2022-04-16,1,沙田,第五班,1400米,好地,"HK$ 780,000",4,14,False,False
2,3,10,妙算騰飛(C519),梁家俊,羅富全,125,1118,3,3-1/4,1 1 1 3,1:23.29,3.6,2022-04-16,1,沙田,第五班,1400米,好地,"HK$ 780,000",4,14,False,True
5,6,11,得賞(B288),班德禮,葉楚航,123,1020,13,4-1/2,14 11 11 6,1:23.49,45.0,2022-04-16,1,沙田,第五班,1400米,好地,"HK$ 780,000",4,14,False,False
